Redes Privativas | Turma 1 
quinta, 24/04/2025

0:17 - Palestrante Não Identificado Vocês estão vendo?
1:24:01 - Loreno Agora, a Avelã, A VPN, desculpe, é uma rede bem superior, ela cria conexões seguras e criptografadas e vai isolar o tráfego mesmo. A gente todo mundo ouviu essa querela aí, pode ser leigo, mas ouviu a conversa do Alexandre Moraes, proibir a VPN para utilizar VPN para poder pegar o X E quem tivesse uma VPN ia pagar dez mil ou ia pagar cinquenta mil reais, uma coisa assim. Então, tudo ficou famoso, a VPN. No meu caso aqui, eu tenho uma VPN da Norto. E ela é nativa, ou seja, como é que é nativa? Eu adquiri um pacote Norto que eu renovo e ela sempre me dá essa, sei lá, mas não foi por isso que eu fiquei assim. Se eu fiquei grudado no sistema X de alguém, praticamente não abro. Mas o que eu queria comentar é que a rede privativa tem essa vantagem. Nós vamos ver mais pra frente, mas ela se muda. Ninguém sabe de onde é o seu endereço IP e nem de onde você está flutuando. É bastante segura. E a VPN se concentra na segurança e no acesso remoto, enquanto a VRF é o roteamento eficiente. O objetivo da VRF é o roteamento eficiente. Evitar que vão pacotes desnecessários para estações, para rostes, que não precisam receber aqueles pacotes. Bom, vamos falar um pouquinho da Avelã. Avelã, que seria Virtual Local Area Network, é a sigla. É um procedimento de criação de redes virtuais dentro de uma mesma estrutura física, isolando diferentes setores da empresa. É aquilo que o pessoal queria. Lembro que a gente mostrou lá naqueles desenhos do prédio para a telefonia e depois para a data também, que são departamentos separados. De vendas, de departamento financeiro, diretoria. E o ideal é que cada um tenha a sua própria... Apesar de todos estarem ligados na mesma internet, podia fazer também uma internet para cada grupo. Ia sair muito mais caro também. Então, o que acontece? Tem uma internet única rodando na rede local e aí tem várias Cada departamento constitui uma velã. É uma forma. Existem diversas técnicas para identificar as velãs. Uma é baseada em porta, que é bem física, mesmo que havia nos primórdios. Você conecta na porta 1, você sabe que se você quiser falar com a rede azul ou com a rede vermelha, ela está na porta 1, Você também pode fazer com base o endereço MAC. Como os endereços MAC vêm de fábrica, você poderia programar no seu switch que os endereços de 1 a 10 Mach pertencem à rede branca. Os endereços 11 a 20 pertencem à rede preta, por exemplo. E existe a forma mais moderna, que é a velã com tagging, chamada velã carimbada. Essa foi difícil de aprovar porque mudou o quadro Ethernet. O quadro internet teve que mudar a estrutura dele, teve que acrescentar um campo de tag para avisar que vai ter rede VLAN e numerar essas VLANs. E você pode também ter VLANs com base em protocolos de camadas superiores. Então, tipo, você... Todos que tiverem endereço IP, a gente vai ver depois os endereços IP, mas que tiverem endereço IP que tem o número de máscara 26, pertencem a uma mesma rede, por exemplo. E assim vai para MPLS ou para file transfer também. Bom, para você caracterizar uma VLAN, Você precisa saber o tipo dela, que são esses anteriores que a gente falou. Você precisa saber as formas de conexão que tem entre os dispositivos. E você precisa acessar uma filtra em database, que é a base de dados onde você tem exatamente a relação das redes VLANs e dos quadros. Que são permitidos nessas velãs. E tem que ter um processo de identificação ou marcação utilizado para identificar a velã de origem do quadro. Quando você usa a velã? Já discutimos um pouco por cima. A questão da departamentalização, ou seja, você segmenta setores, Priorização de serviços também é importante, não é só a departabilização. Então, por exemplo, o serviço de voz ou streaming, por exemplo, ou videoconferência, você quer uma qualidade em tempo real. Você não vai usar PCP com ele, você vai usar UDP, o protocolo lá. Então, consequentemente, em tempo real, você tem que priorizar esse serviço. Quando tiver um quadro que estiver levando Esse tipo de informação é prioritária. A questão da segurança também, se você entrar com uma... Primeira coisa, os hostes que fazem essa segurança, os operadores de rede. Então esses dispositivos têm que ser priorizados. E também a questão do acesso a visitantes. Toda empresa tem uma... Qual é a minha rede Wi-Fi para visitante? Ou qual é a minha Avelã para visitante? Você pode ligar aqui que aqui é para visitante. Entendeu? Então você não consegue acessar o resto da rede. Você fica isolado da rede corporativa. Então essa que é a grande vantagem da Avelã. Você dá uma Avelã para um cara e ele fica ali para um cara ou para três terminais, digamos, que são os visitantes. Os três usam, eles podem usar, entrar na internet, pagar conta, fazer o que eles preferirem, tiveram que fazer, sem necessariamente interferir, sem fazer hacking ou sem interferir na comunicação corporativa. A outra questão é a gerenciamento de tráfego. Então, questão da qualidade de tráfego. Muita empresa faz essa gerenciamento, você precisa ter relance, para garantir a qualidade do serviço. E, finalmente, um outro exemplo é a questão que vocês têm ali com vocês mesmos, a ambiente de educação. Então, claro que o professor e os alunos vão ter acesso a bases de dados diferentes e informações diferentes. Então você tem que ter belas independentes para essas coisas. Ok? Agora vamos tentar caracterizar cada uma delas. Primeiro a velã baseada em portas. Suponha que você tenha lá um switch com oito portas ou outro dispositivo. Você pode caracterizar as portas 1 e 2 que pertencem à velã 0, a porta 3 e 5, a velã 1 e a porta 4, e 7, avelã 2, e a porta 8, avelã 5. Você pode numerar as avelãs, você pode atribuir identidades diferentes de acordo com a porta. Você sabe que naquela porta ali é só aquele cara que está entrando. E você pode também usar o endereço MAC. Por exemplo, o que eu dei aqui. Seria esse endereço aqui ou esse aqui, por exemplo. E a VLAN 1 seria este ou esse. Então é a outra forma de você trabalhar. Isso vai estar naquela base de dados de filtragem. E finalmente você pode ter a UTEG. Aqui em cima o quadro Ethernet padrão e aqui embaixo o quadro Ethernet que eles chamaram de 3AC, do padrão 802 1Q, que então ele contém esse campo tag a mais. Esse campo tag tem três informações, o tpid, basicamente, e o tci. Tci é o tag control information. E o campo tpid, geralmente ele vem travado nesse valor aqui, 8100. Por quê? Porque nós estamos falando de VLANs. Depois eu vou mostrar para vocês que tem outros valores para esse campo. Eles são 16 bits, né? São 16 bits. E aí é claro que você pode ter quadros independentes. Tem a questão da prioridade que você vai dar, que faz parte desse campo aqui. E finalmente, você identifica se aquele quadro é um quadro 802.1Q ou não. Esse último bit aqui. Se for um, tá? A prioridade, gente, é a prioridade padrão da internet e do IP também. Então é assim, o valor 0, 0, 3 bits, é o best effort. O valor 1 é média prioridade. O valor 2, alta prioridade. O valor 3, sinalização. Por exemplo, sinalização lá desses protocolos de de serviços especiais, que eu comentei antes. A prioridade quatro, videoconferência. Que é, digamos, a prioridade maior. Uma menos que a maior, né? A prioridade maior seria a voz. Então, as classes de serviços são essas e você deve priorizar de acordo, a recepção deve ser, a transmissão deve ser feita de acordo com essa classe. Aqui nesse tag ele vai essa informação. Dizendo se a informação é voz, se é videoconferência, o que que é. E vai também a informação do controle de protocolo, que a gente vai ver a seguir. A informação de protocolo, gente, são 16 bits. Ele pode ter vários protocolos. Que ele pode usar. Por exemplo, esse 0x806, o RP, 0x8035 é o RARP, o 0x800 é o IP, o 0x086DD é o V6. Cada algarismo aqui pode ser um algarismo hexadecimal. E no caso de cada um deles aqui, em particular aquele que nós vimos, Eu tirei daqui, é o 0800100, o padrão de VLAN com tag. E as VLANs em protocolos superiores também são o mesmo esquema, de acordo com o número do IP, ele especifica, digamos, uma máscara, que é a máscara daquela VLAN. Então é a mesma coisa, como está mostrado aqui. E também pode ser feito por serviço. Por exemplo, se for o serviço HTTP que o cara está usando, é uma VLAN. Se for o serviço File Transfer, é outra VLAN. Então, todos esses tipos de VLAN existem. Aqui, para a gente poder chegar a um exemplo, eu vou dar uma geral, não sei se eu estou chovendo ou molhado. Se eu tiver, vocês me avisem. O que é um hub, um hub switch, que a gente já falou, né? O hub permite a interligação física das estações, ou seja, é uma coisa que só trabalha na cabana 1. E tem a vantagem de que é como se fosse uma tomada dessa tensão que a gente usa. Se você tiver um problema no cabo, você tira aquele cabo e as outras continuam falando, você não precisa desligar. A ponte, o brilho, essa questão de velã, vocês vão ver muito essa questão da ponte. Frequentemente você tem domínios que seria, por exemplo, o terceiro andar e o segundo andar, por exemplo. Aí você faz uma bridge ligando eles, tá? Então você precisa passar, se for o caso de você ter, por exemplo, financeiro no segundo e no terceiro, por exemplo, você precisa passar na bridge esse tipo de informação. Geralmente as bridges não interligam segmentos que usam protocolos diferentes, então geralmente você tem que padronizar, você tem que usar o modelo mais novo, esse 3AC, 802-3AC, ok? Esse é o papel da bridge, e existe muito esse esquema de fazer balance através da usando Bridge. E tem o Switch, que pode trabalhar na camada 2, que é o padrão da internet, e que permite, então, na camada 2, a troca dos quadros e endereços, e analisa os endereços. Esse, na verdade, é o que se usa mais atualmente. Geralmente, Um switch, que está representado aqui, é o roteador e a switch também, talvez. Ele tem as entradas para as LANs e tem a entrada para a internet. Aqui está o roteador. O roteador já é uma coisa que trabalha na camada 3. Ele vai analisar o pacote IP para ver o endereço, o endereço IP, Ele vai usar um protocolo de roteamento, ou OSPF, ou TRIB, ou qualquer outro protocolo para poder fazer esse roteamento. Não sei se eu representei aqui naquele desenho anterior. Não sei se eu cheguei a representar os protocolos aqui de camada 3. Eu representei com a letra roteamento, mas tem vários tipos, tem o BGF que é de borda, tem o ASPF que é a trajetória mínima, tem vários tipos. Isso aí também Todo um curso para falar sobre isso. Então agora vem o nosso primeiro exercício aqui. Acho que eu vou pedir para vocês tomarem um tempo para resolver. Imagina que você tem, pode ser um switch ou coisa parecida, que você tenha duas VLANs aqui em Windows, Desculpe, tem uma violão Windows com dois PCs e tem uma violão Mac com dois PCs aqui ligados. Aí você tem que ligar, digamos, em uma prédio ou em outra coisa lá. Como é que você faz no caso desse? Vocês querem tempo para tentar resolver? Sim. O que a gente dá? Deixa eu ver uma coisa no horário. Faltam 20 minutos. Vamos dar uns 3 minutos, né? O que vocês acham?

1:42:27 - Palestrante Não Identificado Perfeito.

1:44:45 - Loreno Podemos retomar? Podemos reassumir, pessoal? Perfeito, professor. Então, aqui o exercício, o objetivo dele é mostrar que se você tem as velãs definidas por porta, você tem um certo abacaxi nas mãos, porque você é obrigado a reservar um tronco para cada uma dessas velãs. Se você tiver três velãs, você não consegue ter 3 velãs se você colocar um equipamento a mais aqui você já perde o acesso a solução é mais ou menos essa você teria que ligar essas duas portas as portas do portabridge então com isso tem que ligar duas porque é uma para cada velã se você tivesse quatro velãs definidas aí não importa o número de de PCs que estivessem nelas, você teria que ter quatro linhas tronco. Professor, o senhor está me ouvindo bem?

1:45:55 - Palestrante Não Identificado Sim.

1:45:56 - Clodoaldo Callogero É o seguinte, essa seria só uma configuração física, né? Mas como é que eu faço para configurar isso? Basta a conexão física?

1:46:12 - Loreno Ou eu tenho que... Não, não faz. Você teria que ter, como eu comentei aqui, você teria que ter uma... Na rede você tem que ter um repositório onde você designa essa configuração. Você cria. Porque assim, fisicamente você vai colocar, mas não é por em software. Você vai ter que criar essa conexão em software.

1:46:43 - Clodoaldo Callogero Ah, ok. Apesar de ser um hub, um switch, que é só uma conexão física, eu tenho que configurar isso em software também, né?

1:46:54 - Loreno Você vai configurar na rede, porque assim, na verdade, repara, para o hub switch aqui não pega nada. O que vai pegar é que você vai ter que definir na rede a VLAN W, quais são as máquinas dela e onde que elas estão ligadas. Certo? Por exemplo, quando chegar um pacote, imagine que chega um pacote de fora ou então da própria rede aqui, através desse bridge, esse bridge seja um pacote destinado a um desses computadores aqui, tá? Ok. Isso. Então é destinado a essa VLAN. Como é que o sistema sabe isso? Ele tem que saber, né?

1:47:40 - Clodoaldo Callogero Entendeu? E isso eu configuraria no Hubsuite, não na Bridge.

1:47:46 - Loreno Você configura, você tem que configurar em todos os equipamentos. Você vai configurar na rede. Então você vai avisar o teu router, se tiver, vai avisar as bridges e vai avisar os switches.

1:48:07 - Clodoaldo Callogero Eu acho que com o tempo vai ficar mais claro, conforme evoluir.

1:48:15 - Loreno Obrigado. Você tem que, em suma, não basta você conectar os implementos, você tem que criar um mundo A conectividade física, que o senhor exemplificou no exercício, agora a lógica vai ficar com outra qualidade. Pode repetir a pergunta?

1:48:43 - Carlos Batista Eu não ouvi bem.

1:48:46 - Carlos Batista A conectividade... Essa foi a física.

1:48:50 - Loreno Essa é a física.

1:48:53 - Carlos Batista A conectividade lógica depende de configurações, Depende do sistema.

1:48:59 - Loreno A lógica depende do fabricante, dos equipamentos, dos fabricantes. Então, eu não vou entrar nesse mérito. Mas você tem todo um procedimento. Se vocês entrarem, eu tenho vários sites aí da Cisco, etc, que aí eles têm os procedimentos como é que faz isso.

1:49:23 - Palestrante Não Identificado Ok, ok.

1:49:25 - Loreno Bom, exercício dois. Imagina agora que as velãs são carimbadas. Então é possível perfeitamente, com equipamento de fora, vai ser possível, tem que ser possível, de fora diferenciar todos, diferenciar os anudos da velã, Então, como é que você conecta isso? E ele tem essas portas aí, de uma até a outra. Querem uns meutinhos para pensar? É uma solução parecida, só que aplicando o conceito de tag. Vocês viram antes. Vou fazer já direto. Você vai pegar um desses conectores RJ45 e vai conectar ele com um similar do outro equipamento, que pode ser um switch. Toda vez que chegar um pacote para esse equipamento, que for um pacote o pacote carimbado como VLAN, ele vai ver por pouquinho. Qual VLAN quer receber isso? Ah, é a VLAN 1. Então eu vou mandar por aqui para a interface 1. Isso é programado, obviamente. Senão a 1 não se conecta com o 8.

1:51:11 - Palestrante Não Identificado Certo?

1:51:12 - Palestrante Não Identificado Perfeito.

1:51:13 - Loreno Então assim, o que eu queria mostrar? Economiza a porta. Se você tiver alguém, imagina que você tenha 40 VLANs numa dada empresa lá. 40 talvez seja exagero, mas digamos que tenha 25 VLANs. Você vai ter que ter 25 cabos ligando, aqui nesse caso anterior, né? Você vai ter que ter 25 cabos desse aqui. O que significa que você vai ter que pegar um switch que tenha 25 mais N conectores. N porque você vai colocar nesses N, digamos, se for grupo de 2, imagina que é grupo de 4. Você vai colocar nesses N, vai ser 4 vezes 25, 100. Você vai ter que ter um switch de 100 portas aqui, entendeu? Essa aqui é a dificuldade. Enquanto que aqui, por ter oito portas, você tem que ligar a oitava porta lá. E aí ainda tem espaço por cinco, por seis e por sete. Digamos. Para usar PCs dentro da violão ou não, né? Ok? Essa aqui é a filosofia. Mas vamos falar um pouquinho o Virtual Routing Forward, VRF. É uma técnica de virtualização de rede que permite que tenha mais do que uma tabela de roteamento. Eu já vi isso usado em vários sistemas de comunicação de dados, não só IP, eles usam isso. Porque você quer ter encaminhamento dependente conforme a origem ou conforme o assinamento o usuário ou conforme a classe do usuário, coisa desse tipo, tá? Quais são os casos de uso aí? Provedores de serviço, por exemplo, o VRF é usado para fornecer várias redes virtuais a diferentes clientes, na mesma estrutura física. Então, se você quiser, o pessoal do O parceiro tem o encaminhamento A, o pessoal da vendas tem o encaminhamento B, o diretor vai ter o encaminhamento tipo C, etc. Outro caso é o ambiente de nuvem. Ele pode ser usado para isolar pessoas diferentes que estão usando máquinas virtuais diferentes da nuvem. E data centers também. Eu vou mostrar uma figurinha aqui que eu acho que talvez esclareça para vocês. Então, suponha aqui que tem um nó X, que é esse nó aqui, e ele tem... Aqui eu representei vários destinos, mas ele tem dois tipos de encaminhamento. O encaminhamento normal, que é em preto, e o encaminhamento para uma vela específica, que eu representei em azul. Então, o que vai acontecer? Se o nó X chegar a um pacote destinado a uma rede azul, ele pode pegar o destino XB ou dependendo do destino, se o destino for B, ele pode pegar ou a XB diretamente ou a e YB, a rota. Então ele tem duas rotas que ele pode pegar. Se o destino for W, ele vai pegar diretamente a rede W aqui, ele tem acesso. Agora já o encabimento normal é diferente. Se chegar um pacote destinado a Y, a B ou A, ele vai seguir justamente o caminho XB, XA, Se chegar um outro pacote que não é conhecido, ele vai descartar. É isso que é um Virtual Routing Forwarding, um VRF. É a questão de você ter encaminhamentos diferentes para origens ou ou para velãs marcadas diferentemente. E é um procedimento de Câmara 3, que é encaminhamento já. Agora vamos ver o que é o VPN. Ou Rede Virtual Privada, é uma conexão digital para você realizar uma atividade, onde o seu tráfego é criptografado e não mostra o seu adereço IP. Cria um túnel entre o seu dispositivo e o servidor remoto. Então, não é um túnel com relação ao próximo destino, é um túnel até o fim, é um destino final. E o cara não sabe se esse túnel vem de Campinas de Miami ou venho de São Francisco, por exemplo. Entendeu? Então é uma coisa bem interessante. Também é feito a nível de camada 3 também. É criado esse túnel, né? E os casos de uso. Segurança, arquitetografia, proteção de dados, por exemplo, o uso de Wi-Fi público, ou mesmo se você achar que a sua rede não está segura. E também o acesso remoto a ser seguro, com proteção dos dados, etc. Aquela questão que eu comentei. Seria possível para mim acessar o X sem ninguém ficar sabendo. Vou mostrar mais ou menos o que é. Primeiro, os casos de uso. Talvez seja melhor até ir direto lá e depois voltamos. Por exemplo, no meu caso lá da Rede Norte, eu tinha uma conexão para os Estados Unidos e essa conexão variava. Às vezes era na região de Miami, na Flórida, às vezes era na Califórnia, era num desses estados aí de ticanos, que é muito razoável. Então essa conexão era visível para mim. Agora, o servidor de lá, da Norton, ele me encaminhava para onde fosse, seja para a Groenlândia, seja para a Europa, seja para a América do Sul mesmo, e ele me encaminhava para esse servidor, escondendo completamente a minha origem. Você tem que configurar, conforme o caso do destino, você tem que configurar a linguagem, etc. Realmente o default para eles era inglês. Era uma VPN, era uma rede. Quem estava originando a pergunta é uma rede localizada nos Estados Unidos.

1:59:01 - Palestrante Não Identificado Professor, uma coisa.

1:59:03 - Palestrante Não Identificado Diga.

1:59:04 - Antonio Carlos Ferreira de Almeida Professor, mas ela usa internet pública?

1:59:08 - Palestrante Não Identificado Usa.

1:59:09 - Antonio Carlos Ferreira de Almeida Embora seja uma VPN, a comunicação criptografada, tudo bem, ela pode até usar HTTPS e tudo, mas ela usa internet pública? Usa. Então, se ela usa internet pública, ela é protegida, concordo tudo, mas ela é nível de invasão. Agora, por exemplo, se usar uma VPN da AWS com serviço da AWS que garante que ela usa, ela não usa a internet pública, ela usa a internet da AWS.

1:59:47 - Loreno É, outros clientes, com relação à segurança, é mais seguro, não é?

1:59:52 - Palestrante Não Identificado Sim.

1:59:52 - Loreno E também ela pode usar, por exemplo, o IPX, pode ser uma rede IPsec, IPX, usa outros protocolos que não da rede pública. Aqui no caso não, era a rede pública. Só quis dar o exemplo para mostrar o que a VPN faz. E a questão dos casos de uso da VPN tem várias vantagens. Para os indivíduos é a vivacidade aprimorada, supera restrições problema do Alexandre, demorais, proteção contra o ar público, limitação de dados, assim, o meu throughput era menor, necessariamente, que é uma desvantagem, né? E protege contra malware e ameaças cibernéticas. E para empresas é que tem mais vantagens, né? Além do acesso remoto seguro, a conectividade site a site, proteção de dados, conformidade com políticas, transmissão segura de arquivos, escalabilidade, tem toda uma série de vantagens. Ok? Então, o que eu tinha para apresentar para vocês era isso. Não sei se eu botei slides adicionais aqui. Aqui é só para uma curiosidade, né? Se alguém quiser ver, né? O tal de IMP, Arpanete é esse aqui, ó. Essa criancinha aqui. Tá vendo? Pra mim parece um dentificador de tensão. E aqui a carinha dele, né? Essa carinha aqui, não saiu bem na foto. É isso aqui. Aqui são outras curiosidades que eu vou botar pra vocês. Deixar de brinde aí. São outros protocolos. Tá bom? Vocês querem me ajudar aqui a lembrar das Outra coisa que vocês querem que eu complemente? A questão do Lore eu acho que já foi discutida, né?

2:01:59 - Palestrante Não Identificado No open source, certo?

2:02:01 - Gabryel Nóbrega Perfeito, perfeito, professor.

2:02:02 - Loreno Então, vocês querem me ajudar com outras coisas que eu tinha que ficar devendo para vocês? Tinha alguma coisa que vocês queriam, que faltou de slide? Ah, se o senhor pudesse comentar Open RAN, professor. Open RAN?

2:02:22 - Antonio Carlos Ferreira de Almeida É, se o senhor pudesse comentar Open RAN.

2:02:27 - Loreno Ah, eu faço então os slides. O Open RAN é tranquilo, tá bom? É o fato de você ter diversos sistemas usando o mesmo protocolo básico. Entre as diversas radiobases. Mas eu faço uns slides para vocês. Perfeito. Perfeito, obrigado. Eu acho que é mais útil do que esse material aqui dos protocolos de internet. Bom, não esqueçam de responder à pesquisa. Aqui, né? Não esqueçam de responder à pesquisa. Já acabou? Vocês não estão enxergando mais nada? Ok, então, professor. Obrigadão. Tá bom.

2:03:23 - Antonio Carlos Ferreira de Almeida Obrigado. Obrigado, professor.

2:03:25 - Loreno Boa noite.

2:03:26 - Clodoaldo Callogero Bom descanso. Até amanhã. Amanhã tem aula.

2:03:31 - Palestrante Não Identificado Boa noite.

2:03:33 - Palestrante Não Identificado Boa noite, pessoal.

2:03:35 - Palestrante Não Identificado Boa noite.

2:03:36 - Carlos Batista Boa noite a todos.

2:03:39 - Palestrante Não Identificado Até amanhã.

2:03:41 - Palestrante Não Identificado Obrigado.
