Redes Privativas | Turma 1 
sexta, 25/04/2025

0:07 - Carlos Batista Parece ter sido uma falha momentânea, que logo em seguida eu consegui, entendeu?
1:34:35 - Gabriel Theodoro Professor, nessa linha, isso explica o porquê, como o Habro tem uma área em extensão maior do que uma área urbana, isso torna mais interessante para a indústria, mais rápido que para a operadora.

1:34:51 - Loreno Exatamente.

1:34:51 - Gabriel Theodoro Por exemplo, tinha uma dos slides teus na última aula, se eu não me engano, era de um shopping center. É uma área privada, só que numa área densamente populada. Nesse caso, para uma empresa, para uma indústria realizar no shopping, ele conseguiria licença com facilidade ou por estar numa área densamente populada?

1:35:14 - Loreno Normalmente teria dificuldade.

1:35:15 - Gabriel Theodoro Entendi. Então, A menos que seja um shopping, assim, em São José dos Ausentes.

1:35:21 - Loreno Aí pode ser, mas normalmente aquilo ali é uma área super procurada, super demandada. Então vai ser para as empresas operadoras, ou então para as empresas, se já não tiver a ser usada também para empresas do tipo, dessa forma, que não são muito interessadas. Empresas do tipo rádio ou TV, né?

1:35:46 - Palestrante Não Identificado Entendi. Obrigado, professor.

1:35:48 - Loreno Tá bom, imagina. O objetivo é esse mesmo. As coisas se fecham. Só que às vezes a gente tem que ir e depois voltar um pouco. Acho que aqui, agronegócio, conseguimos fechar. Para fechar, né? Já tínhamos visto isso aqui, já. Acho que nós estamos mais... Ah, não, nós estávamos aqui nos usos para usinas, tá? Então é assim, a primeira questão é a questão de mortora usina, de cana, usina de açúcar, etc. A questão é para monitorar, através de sensores, os processos, as instalações, essas coisas todas que você precisa ter um sistema que... Porque imagina a dificuldade disso, só para assim... Não sei se vocês estão entendendo o que eu estou falando. Mas imagina a seguinte dificuldade. Você é convidado para uma usina de cana e açúcar lá. E aí tem sensores de fervura, antifervura, não sei o quê, temperatura, pressão, nos diversos tonéis, etc. E aí você tem que cobrir tudo isso. Tem uma solução. Você pode ligar cada uma com um cabinho, sem dúvida. Mas é muito mais eficiente se você botar sensores que são Wi-Fi, ou são 4G ou 5G, que são detetados por uma rádio base. Essa que é a facilidade. Eu não sei se vocês não fazem exames, eu já faço, de teste ergométrico, etc, teste de eletrocardiograma. Então o cara pendura um monte de pinos em você, e já tem laboratórios que o cara só bota os pinos sem fio, mas a maioria pega e conecta os fios num equipamento que faz a impressão. Posição do elétron. E aqui é a mesma coisa, você vai precisar... Diga.

1:38:03 - Gabriel Theodoro Uma dúvida nessa questão da usina. Usina de cana é imensa, né? Geralmente ela vai estar ao redor de diversos canaviais, geralmente é feito dessa forma, no água. Uma pergunta, compensaria instalar na operação que se for monitorar, telemetrizar, um iote híbrido? Para dentro de um indoor fazer Wi-Fi e externo fazer uma operação em rede?

1:38:29 - Loreno Olha, acho que é uma questão de avaliar os custos, de avaliar custo-benefício. Eu não tenho certeza para você dizer que é melhor estar lá e fazer isso. Entendeu? Pode ser uma questão de avaliar. Eu acho que a solução de 4G, 5G é uma solução Facilita muito, né?

1:38:51 - Palestrante Não Identificado Ok.

1:38:51 - Gabriel Theodoro Bom, questão da segurança também, né?

1:38:55 - Loreno O Léo, preciso interromper o professor, porque ele não consegue ver quando a gente levanta a mão.

1:39:04 - Palestrante Não Identificado Beleza.

1:39:05 - Leonardo Pirani Vocês estão me ouvindo, pessoal?

1:39:08 - Palestrante Não Identificado Vou interromper.

1:39:09 - Leonardo Pirani Então, até levantando um pouco nesse tema aí da usina, você comentou trabalhei lá por três anos, né? Então participei bastante de atividades deles lá e um dos grandes clientes dele, igual passou aí, é a usina São Martim. Eu não sei hoje em dia como que tá, mas na época tinha bastante demanda de atividades lá e era tudo realizado pela rede 4G na frequência de 250 MHz. A gente utilizava frequência pela questão das áreas de sombra, pelo solo ser bastante acidentado, questão de montanha também ali.

1:39:51 - Loreno Também, é.

1:39:52 - Leonardo Pirani A gente conseguiu um alcance um pouquinho maior mesmo, que nas bordas tinha problema de comunicação.

1:40:00 - Loreno O pessoal chegou a me falar, eu acho que o Barbieri acabou me falando uma vez que era alcance de 40 quilômetros, chegava.

1:40:10 - Leonardo Pirani Na verdade, esse valor aí usava-se bastante comercialmente, né? Vamos pensar que um campo num ambiente, tipo, real assim, não tem como chegar, porque há muitos obstáculos no meio do caminho. Tem uma questão de árvore, questão de um monte de coisa que pode já estar atrapalhando ali na propagação do sinal. Então, o real, real mesmo, já havia que chegar em 25 no Mato Grosso, assim, na fazenda. E até a gente também instalava bastante na área do agronegócio, lá nas fazendas no Mato Grosso. E tinha um alcance bom também. Aí é igual, acho que não sei quem perguntou, acho que o Gabriel falou, nessa usina, por exemplo, a gente acabava, acho que tinham cinco ou seis sites separados em cada cidade, assim, pra conseguir cobrir a área inteira da usina, entendeu?

1:41:08 - Loreno tão grande que era, né? Ô, Léo, uma pergunta.

1:41:11 - Gabriel Theodoro Você que estava lá no dia a dia, na prática, você sentiu muita diferença em cultivos diferentes? Por exemplo, na cana você tem menos interferência do que em uma plantação de eucalipto. É perceptível isso nos sensores ou é indiferente?

1:41:26 - Leonardo Pirani A gente até também fez um projeto no... Acho que foi pra Aldorado, Fazenda Aldorado, no Mato Grosso do Sul, que é justamente a questão de eucalipto, aí realmente tem bastante tipo assim obstáculos em si né, vamos dizer, aí acaba se optando até também por alturas não muito elevadas também, a gente tem ali, mas questão da usina também, eu acho que na usina é pior porque a cana você consegue plantar em, até no barranco quase tem plantação de cana, então igual o professor comentou, a questão dos maquinários essa comunicação das máquinas aí, até para a questão de controle de quanto que está produzindo, para eles é muito importante, entendeu?

1:42:13 - Gabriel Theodoro Pô, que legal! O Gabriel perguntou no chat, que é o Gabriel falando com o Gabriel. Márcio, compartilha alguma dificuldade técnica que levou a explorar uma abordagem no lugar de outra.

1:42:28 - Leonardo Pirani Cara, dificuldade técnica Primeiro que tinha muitos, por exemplo, a Trópico, ela fazia, tinha a parte da EnoDB, que era produzida junto com o CPQD ali, e tinha os VSAs, esses VSAs eram os terminais que iam instalados nos tratores. Então cara, dificuldade ali, tinha bastante, questão de o trator treme pra caramba.

1:42:54 - Loreno Da Trópico, é? Isso, VSA.

1:42:56 - Loreno Olha que legal.

1:42:58 - Loreno muito bom.

1:42:58 - Leonardo Pirani É então, aí até tinha comentado aqui no chat, acho que o professor não consegue ver, mas eu também trabalhei na parte lá do PCP lá do Porto de Paranaguá, junto com a Sunwave lá, a gente que fez as instalações. Essa da Sunwave também teve uma questão também de que como os containers lá acho que é empilhado acho que de quatro a cinco containers, uma em cima do outro. Então, tinha as questões de tanto reflexão quanto o bloqueio de sinal também. Então, tinha bastante coisinhas assim.

1:43:35 - Leonardo Pirani Eu trabalhei por três anos lá, aprendi bastante coisa nessa área aí, bem gostoso.

1:43:42 - Carlos Batista Uma coisa recorrente que você vivenciou, por favor, aí, exemplo, no estudo de habilidade técnica, alguma dificuldade encontrada recorrente e alguma contramedida, tem algum caso completo que possa compartilhar, por favor?

1:43:56 - Leonardo Pirani Cara, esse problema aí a gente até que não tinha bastante, cara, como a gente fazia todo o estudo antes, querendo ou não, igual o professor comentou, essa rede privada tem que ter um planejamento, um plano de projeto muito grande, então a gente fazia todo o estudo da questão de propagação no ambiente, tinha alguns softwares lá que dá para a gente fazia essas predições, que chama, tudo, e fazia todas as questões. Aí lá, quando a gente instalava, depois de instalar tudo, a gente acaba não liberando diretamente para uso, a gente faz um drive test, no caso a gente entrava no carro lá com a anteninha, ia captando o sinal ao longo do circuito todo lá, e até depois a gente começou a coletar bastante também throughput, questão de trupute, tudo. E aí, os maiores problemas que a gente encontrou foi um outro projeto, não foi nem questão da usina, assim, mas foi o projeto da Vale Trem. Era um projeto que ligava a linha férrea da Vale entre Vitória e até Belo Horizonte. Então, foi instalado ao longo da ferrovia essas enol de bis, assim, a cada, acho que, sete quilômetros, não sei quantos quilômetros agora, então tinha várias casas assim, que eles chamavam de as torres ali em si, a gente instalava e apontava para um lado da ferrovia e outra antena para o outro lado da ferrovia, então qual que era o intuito da Vale? Era saber ao longo da ferrovia onde que o trem estava para controlar a questão de não ter incidente de um trem batendo o outro, saber mais para redundância deles, mas queria uma comunicação redundante ali. Era trem o dia inteiro, né, passando. Então era importante eles terem esse controle também. Aí ali a gente tinha bastante problema, porque era muita área com morro, assim, e também o pessoal, ao longo da ferrovia, assim, o pessoal assalta demais, questão... A vale ficou um pouco muito mal falada, assim, depois dos acidentes tudo, então teve esse problema aí. A gente tentava contornar tudo em campo, querendo ou não, é uma demanda bem desgastante, assim.

1:46:22 - Clodoaldo Callogero Professor Leonardo, o professor parece que trabalhou na Trópico, né? E o Leonardo também já teve essa experiência. Eu trabalhei na Trópico, Sistemas, Ela foi criada, depois não deu certo. E é um dos poucos países do Brasil que tinha essa tecnologia. E eu tô vendo que ela tá fornecendo 5G agora. Essa tecnologia é totalmente nacional ainda? Ou ela tem parceria com...

1:46:56 - Loreno Na época, discutia-se com o Huawei, alguma coisa assim? Bom, é totalmente nacional.

1:47:04 - Clodoaldo Callogero Que legal! Isso é pouco falado, né?

1:47:08 - Leonardo Pirani Até onde eu sei, é totalmente em parceria com o CPQD ali, teve esse projeto no sul, lá no Paranaguá, e teve uma parceria com a Sunwave, né? Acabou utilizando o rádio da Sunwave, tudo, e até acho que da CPFL, que foi no sul, foi uma das Comecei a fazer, aí eu saí.

1:47:34 - Loreno Eles têm outro parceiro além do Sunwave, né? Que é nacional.

1:47:39 - Clodoaldo Callogero E bom, o Brasil pelo menos tem alguma coisa, pelo menos não é destacado, né? Sempre foi assim, a Tropico R.A. Nos idos tempos era uma das melhores para se trabalhar, mas não era muito falada.

1:47:55 - Loreno Se eu puder fazer mais uma pergunta.

1:47:59 - Gabryel Nóbrega Em relação a essa questão dos enodes bis que tu comentou espalhados pela linha férrea, como é que vocês faziam o gerenciamento de energia desses elementos? Beleza.

1:48:17 - Leonardo Pirani Então, na verdade, a gente utilizava parte de energia em si da da usina ali, da usina não, da Vale, né, e a gente tinha um banco de baterias no brequezinho lá, que em tese aguentava pouco assim, mas tinha essa questão, e até também é uma das coisas que o pessoal rouba bastante ao longo da desses projetos aí de telecom, eles roubam bastante banco de bateria. Era direto, era Aconteceu umas 100 vezes, pelo menos, enquanto eu estava lá.

1:48:53 - Loreno Teria que ter uma parte de supervisão, né? Que fosse bem focada em cima disso aí, né? É.

1:49:00 - Leonardo Pirani A gente até tinha também a questão de gerenciamento que a gente fazia. Tinha um monitoramento 24 horas da equipe, mas aí era mais remoto. Então, se tivesse algum problema, acionava a equipe que estava lá e no dia seguinte estava lá. Mas não tem muito o que fazer. É muito afastado, na verdade. Até um detalhe de uma fazenda, igual vou passar para vocês, a gente fazia instalação e depois fazia um drive test, né? Uma das fazendas lá do Mato Grosso, a gente andou num sábado em volta da fazenda, só na circunferência, assim, andamos 450 quilômetros.

1:49:38 - Loreno Pra você ter ideia do tamanho da fazenda.

1:49:41 - Leonardo Pirani É essa, né? É, é outra realidade. Realidade assim.

1:49:45 - Palestrante Não Identificado Sem dúvida.

1:49:46 - Palestrante Não Identificado Beleza, pessoal?

1:49:48 - Palestrante Não Identificado Beleza.

1:49:49 - Palestrante Não Identificado Valeu, obrigado.

1:49:50 - Loreno Vamos prosseguindo aí.

1:49:52 - Loreno Eu acho que a questão da parte de cidades inteligentes também, educação, também é um outro segmento, né? E também tem o projeto de Pato Esse eu conheço, a gente já esteve visitando lá. Mas tem também esse da Bahia, Segurança Pública da Bahia também, projeto bem interessante. Então, o que ele faz aí? Servicidade inteligente, ou seja, acionamento de semáforos, câmeras, as câmeras apanhando Por exemplo, um dos serviços que essas luminárias inteligentes que eu citei para vocês, a da Bahia também, o objetivo era esse, a monitoração, reconhecimento de um rosto de bandido, por exemplo. Se um cara é bandido e passou pela cidade, vai reconhecer e vai alarmar o sistema lá. Então é o uso de câmeras inteligentes que detetam a cidade, Detetam contra um dado padrão. Detetam coisas que batem com aquele padrão e aí alarma. E para o serviço de emergência, obviamente. Questão do uso da conectividade, tipo metrô tal, avisar que a estação tal do metrô está inundada ou encheu, sei lá. E também a questão do uso de universidades e escolas, que daí A gente já viu desde o começo lá que tem que ser separado, né? Porque os alunos têm papéis diferentes. Alunos, professores, funcionários. Ok? E tem havido também bastante iniciativas na área de mídia. Ou seja, o cara monta uma estrutura lá para atender a um evento. Tem um exemplo claro, que a própria BDI já andou fazendo propaganda, que é o carnaval de 2023 da Globo. E outro de corrida de... Aqui a biografia foi essa. A gente já varreu o benchmark, então eu consideraria concluídos. A menos que vocês tenham alguma pergunta. Alguma pergunta, pessoal? Professor, não tenho pergunta, não.

1:52:36 - Gabriel Theodoro É mais agradecer o pessoal que contribuiu com a experiência de campo aí. Enriqueceu bastante. Ajudou bastante também.

1:52:45 - Loreno Também gostaria de agradecer.

1:52:47 - Gabriel Theodoro Trazendo para a gente as bucha, os cachos de sucesso. É bom aprender, sim, também. Obrigado.

1:52:55 - Loreno Não, eu acho que ilustra melhor. É o pessoal que já lidou com o assunto, né? E a gente é difícil, a gente estudou o assunto e viu como uma lupa panorâmica, né? É difícil a gente conhecer caso a caso, com detalhes, né? E esses detalhes ajudam muito, sem dúvida.

1:53:12 - Gabriel Theodoro É, e o legal é que, um contando um erro pro outro, às vezes a gente tá com uma bucha aqui, quando o cara conta, ela fala, pô, não, peraí, agora já sei, dá um insight como resolver, né? Então é legal o pessoal ir compartilhando com a gente isso.

1:53:29 - Loreno Obrigado, professor.

1:53:30 - Clodoaldo Callogero Obrigado, pessoal.

1:53:31 - Loreno Eu que agradeço, pessoal.

1:53:32 - Palestrante Não Identificado Obrigado, professor.

1:53:33 - Loreno E na semana que vem, acho que nós temos mais uma aula. Não sei se será terça ou coisa parecida.

1:53:41 - Clodoaldo Callogero Tá bom? Obrigado a todos. Obrigado, professor.

1:53:44 - Gabryel Nóbrega Boa noite.

1:53:45 - Palestrante Não Identificado Um abraço. Obrigado.

1:53:46 - Loreno Boa noite. Boa noite. Bom fim de semana.

1:53:49 - Palestrante Não Identificado Bom fim de semana.

1:53:51 - Palestrante Não Identificado Boa noite. Tchau, tchau.

1:53:52 - Loreno Boa noite.

1:53:53 - Palestrante Não Identificado Legendas pela comunidade Amara.org
